tweet,label
" ""! Ini gofood diskon 15k pick up tetapi aku dah pilih kok ga kepotong ya billnya? Jadi rugi dong, gue nyesal pesan gofood",negatif
" ""/pamer/ lumayan bgt teman teman martabak telor sama martabak manis 2 jadi cuma segini pake voc gofood kominfo kmrn jadi lebih murah",positif
" ""/tanya/ coba cek vocher gofood kalian masih ada ngga? Punya ku ilang semua dong perasaan kemarin di cek kadaluarsa masih tgl 28 kesal banget",negatif
" ""/tanya/ teman teman vc gofood 30% kalian masi ada gak di akun? Barusan aku mau pesan eh tiba ""voucher nya ilang padahal masa berlakunya masih lama kok sumpah ya gojek ngga jelas banget",negatif
" ""/tanya/ voc gofood 30% kalian ilang ga?? Padahal waktu hari senin ada 10 trs udah terpakai 4 harusnya masih ada 6 gimana sih ini gojek kesal banget aku merasa rugi banget uda beli voucher",negatif
" ""/tanya/ vocer gofood 30% ku ilang masa padahal masih banyak masih lama juga punya kalian iya ga, jadi pengen marah gitu ga sih",negatif
" ""/tanya/ VOUCHER gofood 30% KALIAN ILANG GA? MASA AKU ILANG tiba tiba PDHL KMRN SAMPE TGL 28 MAU dipakai besok rencananya gojek buat kesal aja deh",negatif
" "": besok masak apa kasian mama beli mulu sedih pdhl gak seberapa tetapi beliau tetap kasian sama aku kalo gofood mulu karna harga gofood mahal jadi boros katanya",negatif
" ""@__MRaZ @gojektech Kalo pembayaran goride jabodetabek udah bisa ganti mas dr tunai ke non tunai. Mgkn bentar lg ke layanan lain dan daerah lain.""",netral
" ""@__sekbil76 @gojekindonesia Hari ini orderan membuat kesal semua bawa goride itc gading minta masuk ruko kadang pelanggan itu memang perlu diajarin cara order yang benar",negatif
" ""@achanrz Cobain kak aku waktu itu nyoba sekali waktu promo gofood dan rasanya lumayan sih tapi ya terasa juga di kantong kalo makan itu terus sesekali boleh lah",netral
" ""@adistong Aku pun iseng gofood gara2 klo lewat atau diajak kesana antrinya panjang bikin pindah tempat makan saat begini memang gofood jadi solusi banget",positif
