tweet,prediksi label,manual label
Iya sih best seller emang di gofood Kalo datang langsung keliatan kalo banyakan yg delivery daripada dine in,netral,netral
iya kalo gocar exclude. kalo harga segitu itu sama bensin/ tol murah. biasanya di 1.5an bersih.,positif,positif
iya gojek klw dpt promo goride lgsg dpt di promo grab semenit lgsg abis kuota nya,netral,netral
Jadi sabtu gua ada acara apa gua naik gocar aja ya biar waktu perjalanan pulang bisa ikut streaming,netral,netral
"ingat kue ultah daniel di okay wanna one, jangan jangan beli digojek juga'""",netral,netral
hey ini knp gocar ga pada mau jemput aku yaudah sabar aja deh,netral,netral
Hai admin aku mau ngurus barang yang tertinggal yaitu dompet mama aku di gocar hari kamis,netral,netral
Gw naik gocar trs bapa2 nya pasang lagu Dun Dun nya everglow dong ,netral,netral
gopay karena kadang pake buat gocar goride sama gopud dana karena beberapa aplikasi apple langganan,netral,netral
Gojek superapp terbesar di Asia Tenggara terus menjadi yang terdepan dalam mengatasi friksi masyarakat,netral,netral
Gojek Selesaikan misi GoFood dan GoRide utk mendapatkan GoPay Baiklah order bungeoppang sama salad buah,netral,netral
Gocar nya rapi banget ... Bersih bgt ... Tapi bau dupa nya kenceng bgt ampe pusing pala ...,negatif,negatif
gimana nih? Cukup bikin ngiler kan wkwk Harganya? Cukup Terjangkau.. Semua menu tersedia di GoFood,netral,netral
Gila ya gojek sm tokped terdepan bgt yang bikin bangga dua2 nya tuh karya anak bangsa,netral,netral
Gadapat gocar ke stasiun kita tunggu aja dulu dengan sabar,netral,netral
"Dulu shopee sekarang tokopedia .lumayan cashback ovonya bisa buat gofood"" ",netral,netral
diskonnya gak nanggung Cek DM ya ku kasih kode voucher biar bisa jajan lagi karena di Gofood,netral,netral
dibandara ada kok gocar tapi harganya lebih diatas sedikit tapi nggak apa apa lah demi kenyamanan diri sendiri bolehlah,negatif,netral
Di gofood mau ngasih review makanan dimana sih? Gak nemu ya ampun,netral,netral
Cara pakai bisa buat order gofood trs gocar goride bnyk pilihannya tinggal ganti di opsi,netral,netral
Berat badan aku naik karna pesan gofood terus,netral,netral
Bolehlah habis ini tengok sekejap gofood untuk coba Korean BBQ all you can eat,netral,netral
"Ayo yang mau main sama akun wangi pengguna aktif gojek juga, biasanya dpt 25k sama 10k",netral,netral
Aman kok cuma kadang ada oknum jahat gt pura pura jd karyawan gofood Hati hati aja gojek ga pernah minta nomor kartu dan otp,netral,netral
Alhamdulillahnya Sekarang udah bisa pesen Gofood pake Kartu Kredit waktu itu cuma untuk Gocar dan Goride aja lumayan lah,netral,netral
Aku yg slalu cari promoan gofood dan bayar pake shopeepay biar dapat cashback udahlah yok bangun dulu yok,netral,netral
Aku juga berangkat sepertinya Aku naik mrt Jadinya kakak naik gocar Besok kabarin kalo udah sampai,netral,netral
Akhirnya setelah sekian lama menunggu bisa juga bayar gofood pakai Debit Card bolehlah,netral,netral
 Yah lumayan gofood akhir pekan di sponsori oleh Olymtrade. https://t.co/pMGiJNaf9G ,netral,netral
tadi abis nyari goride buat ke halte bus. pas dapet disuruh cancel soalnya drivernya ga bawa helm gila banget tuh driver masa iya ngga bawa helm mau narik goride,negatif,negatif
Air lemon sereh ini cocok banget buat buka puasa Buat area Jakarta bisa order via gofood,netral,netral
 Selalu deh lapar jam segini trus di kulkas banyak makanan tp mager masaknya jd berujung gofood mcd ,netral,netral
 Sedihnya mesan ini itu di gofood taunya ambil dikit perut udh berperang. Alhasil kebuang ,netral,netral
" ""Self rewardku cukup bisa cek out2 di shoppe dan jajan gofood dan tentu saja nyari yang promo dong",netral,netral
" ""selamat ulang tahun gojek indonesia semoga dengan bertambahnya umur gojek lebih maju",netral,netral
" ""Saran aku makanan yg ada di gofood tetapi yg sehat dong hiks udah pusing mau makan apa"" ",netral,netral
" ""semoga rejekinya ditambah biar bisa gofood tiap hari ya allah:)",netral,netral
" ""Sampe rumah kepala pusing bgt butuh yang pedas dan yang seger. Sambil mandi sambil mikir cocoknya gofood apa ya""",netral,netral
" ""SALAH pesan DONG DI gofood SALAH AKU SENDIRI GABACA ULANG tetapi GAPAPA LETS TRY MENU YG KUpesan \udc80",netral,netral
" ""Saking bingungnya mo beli makan apa setelah scrolling di grabfood dan gofood 1 jam ujungnya beli tahu walik """,netral,netral
" ""RT HA mau gofood ternyata uangnya kepotong langganan aplikasi lupa atur cara pembayaran sih",netral,netral
" ""RT @YusufFRM: @ayamgorengmasyusuf bisa pesan grab atau gofood. Yang dekat lokasi siap antar pokoknya https://t.co/UXByE6rib"" ",netral,netral
" ""RT @yoona__linn: Pagi hari dia jadi abang gofood. aku pesan jam 6 pagi aja dia udah stand by dan gercep pake banget! dia siap melayani online"" ",netral,netral
